ID	TumorCurrentSmoker	NormalCurrentSmoker	TumorFormerSmoker	NormalFormerSmoker	TumorNeverSmoker	NormalNeverSmoker
A1CF	372.462456124384	374.384119323963	400.239881917245	407.402262650352	357.852775404863	329.871836224566
A2M	7198.23563957227	16923.2502702546	8424.34047139668	19685.5356836882	8918.14383050977	17894.3328913552
A4GALT	104.310589900488	112.533527539918	113.751046376833	113.369502641562	96.7964514929076	100.867902430007
A4GNT	167.801314767215	168.310817181859	184.98898423093	165.521295102414	178.042938315885	135.979307825812
AAAS	159.629905583341	124.012662698936	153.946788189163	167.681792397154	220.572695128488	136.649983103523
AACS	662.066922871934	399.716016173483	599.141565025406	355.418944557656	516.725987637422	357.633767327414
AADAC	151.459451181022	241.270218978274	136.532145553041	343.414146895293	169.058663604051	430.124192139827
AAGAB	244.719434753171	168.426688149689	223.905708935698	189.969278566134	223.296360639296	181.734997541715
AAK1	170.258783197807	215.780718441825	199.440251802401	216.404686926462	173.603786750717	182.323297063365
AAMDC	164.967302729993	204.305468364388	184.309611206246	240.719162170169	182.197812596489	246.13473450636
AAMP	758.160190222484	643.13626096822	756.049705675763	683.770885465116	686.329846271953	645.785402051675
AANAT	13.5979871215937	11.5950539174583	14.6344446540144	11.9240649122212	18.4891642891723	10.6191181607244
AAR2	767.332600583044	706.297947077824	784.688503033387	763.495443006336	790.084317453916	708.47135648942
AARS	2274.79082216716	1758.64335141565	2193.47294793273	1775.60210190324	2237.86484655622	1735.56659670705
AASDHPPT	959.34321396424	725.62089230736	957.089611607946	666.352747846409	929.02931681411	659.10019753497
AASS	134.229562135583	195.036032830675	130.559302943654	219.875251232335	128.889051124766	165.66119342207
AATF	898.693047402196	645.474407090469	841.142665246766	591.855859909269	936.591884115804	641.025139232638
AATK	419.396393788093	928.363018195003	430.476265266624	908.334794708841	382.228780559814	1015.86758820117
ABAT	107.389032774861	188.99584875076	155.160657839893	144.383991840423	143.696622491838	123.470882462631
ABCA1	701.808995694629	883.748660852908	602.153377367164	822.790365623251	575.179417808606	1069.13134444999
ABCA11P	117.43015524815	105.013674468813	110.524292131806	128.08872591737	114.686107272306	117.69808133228
ABCA12	63.76338313416	44.7880270683084	79.4901958765477	39.6488763633428	105.456399872628	45.6294420649775
ABCA2	112.372449366587	128.021548257856	150.364073070795	137.278072584747	110.180902026029	139.652783298701
ABCA3	467.02748873504	2835.87251846289	490.938979298671	2532.56866476431	630.139194836271	2570.4547758521
ABCA4	201.609928314668	53.4537060056873	147.969968717318	46.3488834699203	477.998960908791	54.5816466727052
ABCA5	259.474724253698	283.3564431001	270.927975412732	274.557368692123	261.763693072411	312.2087966573
ABCA6	99.4674869507683	181.063866856947	106.438967932672	192.171023620146	98.237039087047	206.437489634056
ABCA7	215.985087543164	195.766270028143	303.232131058466	274.785844925573	280.386189603233	259.076342471429
ABCA8	165.34986809502	1489.09973748732	295.271652039839	1643.72138005377	275.11634442438	1795.77965261056
ABCB1	123.862244918976	228.749171033288	139.763284416631	255.685385865439	122.924254629013	209.201684647548
ABCB11	55.634852793204	67.5845890119524	65.7531863062482	63.8953553617567	52.495624275954	49.7504702971451
ABCB4	51.4960690013976	28.6137989816932	67.95660038817	43.3600811070528	95.0409461842027	31.3164227037848
ABCB6	228.790949496629	119.37581440305	172.795561190278	117.572483395763	147.07394331893	98.0703829661372
ABCB7	258.760868726759	258.892169599544	313.432107327355	252.04900879423	305.429912248671	235.007856507941
ABCB8	16.6699757686927	8.89867585490633	26.3255036455857	9.65615671200702	17.222995267467	14.7153736711489
ABCB9	46.5339308695832	33.7783111948326	55.2435037554756	29.833731079474	58.5447097628554	27.9412049574163
ABCC1	795.199400643337	582.797501693507	600.818544110847	659.589865170753	728.279719198196	662.766866761599
ABCC10	642.893212615381	526.140252187842	596.238824364206	525.650957093997	594.719344976068	513.174266184288
ABCC2	174.48045989679	37.362006222078	83.7703212374629	52.8813376956063	96.0265733555416	31.196771797686
ABCC3	1053.83612541089	302.660586707275	1056.87863200161	200.164852286964	1624.88845320047	177.130921790593
ABCC4	379.890265705922	405.414975194246	293.982091872378	364.261825774769	439.869411097661	374.829569251993
ABCC5	817.066505794666	729.691015392092	772.339275460004	794.826207059297	817.393166311496	771.770897536391
ABCC6	72.6366335690207	184.718660092659	142.352675207684	190.21641061504	241.729144632964	177.171773233572
ABCC8	19.7773441233825	23.8303368835941	22.4275498698248	23.6424338349822	22.3292164842547	19.063565116312
ABCC9	86.4488228294916	109.09172527324	94.6447716937632	105.860022246093	93.3583664383658	96.6178040764449
ABCD1	347.717372306079	335.491176354982	378.493301576594	326.66311261349	358.369441498152	295.693423335286
ABCD2	65.0263199377792	62.2373234244755	79.6286448281059	68.560228163258	49.0583392423906	56.0276989683108
ABCD3	1399.8021066757	1555.88646308478	1266.59130603963	1140.32187146877	1394.21360113875	1297.88765988033
ABCD4	159.094515112964	184.822208211213	176.699638800776	195.437388979698	163.798585639912	203.851383052737
ABCE1	821.227225286644	494.458359149708	613.513885494433	452.551935657747	577.321759240432	439.249813315837
ABCF1	1703.01234488136	1231.73528117616	1508.77291948835	1271.19272046183	1484.8913021588	1223.65459166367
ABCF2	259.578672415176	199.505372781689	247.880166754272	213.367328674069	261.259523812561	210.054612240015
ABCF3	488.950013953038	462.46318505809	548.119025252293	487.038467003538	492.778844606374	443.875263724629
ABCG1	336.027534058569	664.299679008578	311.990939883617	566.980876605697	384.824038780228	574.804614529785
ABCG2	261.908312382897	392.404248226552	250.35752058746	414.939534183253	235.034234760259	409.197628008945
