name	x	y
FSTL3	78.8392975547439	77.9574408512052
MEST	57.1075383291035	2.64147972434239
COL1A1	62.401274881659	87.6721004450025
DUSP1	64.831998329683	3.73864953115809
RASL11A	98.1885591207637	47.797436806206
SOX4	41.1268538653741	2.95857850085745
MT2A	77.2353984669771	10.3785911621144
GDF15	60.119715368551	72.6244219462217
SORT1	78.4614584561868	28.3807954705169
FST	69.1566914457583	70.709525881096
PHC2	21.671221672586	91.077271254565
TEX2	17.0016256448919	72.0931797952534
CCN3	24.2669494902951	31.7729167225831
CRISPLD2	76.2859891825404	64.0500647900538
SAMHD1	20.4671923318163	81.5110078637598
KCNK6	19.3944895206579	57.7031944162129
WNT2	61.9242234613119	98.3650282305561
IMPA2	14.6722945300948	88.1209659928598
ENDOD1	87.5379211987838	36.5998091839136
ADAMTS1	69.7260172365244	89.0334238115656
STOM	10.176733426744	64.4866787437114
TIMP4	76.5645455954674	88.9084764915116
PDPN	44.4360417710844	89.3726550358818
VCAM1	52.4261706844952	85.3329692092109
INHBB	77.6520530162533	70.3069049858443
CDC42EP3	71.4604329217196	21.2520705693155
CCKAR	60.8222890920939	14.0991122175319
PTX3	51.9138969998105	76.7815492143026
KLF15	44.2510708059989	54.0040824017884
STEAP1	3.17435513022051	38.7927437999168
PPP1R14A	33.6956204275694	4.31672628049921
SYNPO2	92.8404279567909	62.5996352880815
PER1	30.8123102627758	99.9371647229979
ACSS1	1.12520102323477	56.2168885311443
IGDCC4	100	55.3891878534537
CACNB2	18.5447083022533	11.5610942228137
RAB11FIP1	5.27390349819127	29.7750071390518
NEXN	72.4189859993677	45.5924272135071
ZBTB16	36.7958770893699	66.4378688491336
MAOA	5.83432204142889	73.8886232431702
CCDC69	84.6759870739652	61.109603890777
PLXNA4	82.3148357849569	15.6584200587386
SLC6A9	13.5239854194734	26.7335836480742
ADARB1	9.95867364315853	81.1673428594929
INPP5A	90.7532010339244	26.8628745697484
ADAM12	71.0879493589446	80.9635738471639
TBX18	19.6731957827772	45.3720585471299
PRSS35	1	46.6471582444566
COL11A1	59.826122185641	92.0603305810794
DNAJB4	30.5621454300253	19.0670868504379
AMOT	88.9794284146196	81.7721010113559
TCEAL4	96.5408479628997	41.1796010874693
DNM1	48.4777648610858	100
ADAMTS14	61.9332921227501	81.6556855961918
KCTD12	25.409795184736	95.8902116012391
ERRFI1	49.0626382892628	1
HIF3A	40.8627737440575	30.6978922847617
FOXO1	45.3369415716793	63.1212012511026
LHFPL2	2.17486491133813	65.6744011749951
EOGT	87.5345173183933	20.715841793625
GPX3	61.3050530423931	27.601886347699
GXYLT2	50.230259488706	10.4948943081829
STEAP2	11.1675749031751	38.2184738768319
HSPA2	22.3996938269912	18.7025544532522
CXCL12	52.8270486891894	92.3536185578342
VGLL3	95.4291844646517	33.62880931323
CDKN1A	53.6396975827262	66.1108633626431
SUN2	70.469187173436	8.39782747600274
FGD4	32.2367915195965	40.1084335875657
TSC22D1	11.5361326101663	19.4759664486585
LAMA2	67.1294123953162	96.0842316277235
SPARCL1	67.2459434053838	61.550776149365
FAM107A	67.5306986732055	52.6848641079987
ACSL1	8.36366890436622	52.4680367584761
TRNP1	27.1664326924281	7.45223805227975
TJP2	80.7889000083981	84.0886916856391
NNMT	50.4533948438488	25.635976971771
SLC6A6	40.4235201398431	14.5195378880689
